symbol,price,volume,side,source,price_ma,volume_ma,log_returns,volatility,price_momentum,is_peak
BTC/USDT,117563.66,0.0001,,binance,117562.1835,0.027304000000000002,8.506030207026198e-08,1.8644669762340277e-06,1.7700000000040745,1
BTC/USDT,117564.01,5e-05,,binance,117562.29000000001,0.027299,2.977106012140338e-06,1.917032412931325e-06,2.1299999999901047,1
BTC/USDT,117564.08,0.00169,,binance,117562.39950000001,0.0273395,5.954201389002808e-07,1.9089105914482948e-06,2.1900000000023283,1
BTC/USDT,117564.09,0.0001,,binance,117562.51000000001,0.027326499999999997,8.505999076375236e-08,1.9045167664287513e-06,2.1999999999970896,1
BTC/USDT,117564.48,5e-05,,binance,117562.64000000001,0.0161645,3.3173340016246398e-06,1.9619391509009315e-06,2.5800000000017462,1
BTC/USDT,117564.63,5e-05,,binance,117562.7775,0.016063,1.2758947627926083e-06,1.944759114255121e-06,2.6600000000034925,1
BTC/USDT,117564.76,5e-05,,binance,117562.92150000001,0.0139735,1.1057741441702922e-06,1.9253801032551095e-06,2.779999999998836,1
BTC/USDT,117564.77,0.00017,,binance,117563.06600000002,0.013769499999999999,8.505949893499429e-08,1.9226240524047268e-06,1.9400000000023283,1
BTC/USDT,117564.79,0.00259,,binance,117563.2115,0.013074000000000002,1.701189759799294e-07,1.917268893971128e-06,1.5999999999912689,1
BTC/USDT,117565.19,5e-05,,binance,117563.37650000001,0.013066,3.402373444718421e-06,1.9554235977544276e-06,1.540000000008149,1
BTC/USDT,117566.05,0.00113,,binance,117563.5845,0.013113,7.315063706668691e-06,2.3277645268006946e-06,2.389999999999418,1
BTC/USDT,117566.05,0.00056,,binance,117563.79299999999,0.012986999999999999,0.0,2.324273271525386e-06,2.040000000008149,1
BTC/USDT,117566.7,0.0002,,binance,117564.03349999999,0.012989,5.5287917144258125e-06,2.4323730207065938e-06,2.6199999999953434,1
BTC/USDT,117567.56,0.0045,,binance,117564.317,0.000752,7.3149697538443226e-06,2.648906099119348e-06,3.470000000001164,1
BTC/USDT,117567.57,0.00091,,binance,117564.60049999999,0.0007825,8.505747322223586e-08,2.6489062887396073e-06,3.0900000000110595,1
BTC/USDT,117568.0,5e-05,,binance,117564.902,0.0007675000000000001,3.6574645000469596e-06,2.626818037974378e-06,3.3699999999953434,1
BTC/USDT,117568.2,5e-05,,binance,117565.21300000002,0.0007475,1.7011417211667e-06,2.5707908602877162e-06,3.4400000000023283,1
BTC/USDT,117568.9,5e-05,,binance,117565.5165,0.0007475,5.953973235105415e-06,2.4646448070493343e-06,4.129999999990105,1
BTC/USDT,117569.32,0.00145,,binance,117565.823,0.0008175,3.5723669253716942e-06,2.4725090247583102e-06,4.530000000013388,1
BTC/USDT,117569.32,0.0011,,binance,117566.1065,0.000745,0.0,2.518133440673099e-06,4.130000000004657,1
BTC/USDT,117569.75,5e-05,,binance,117566.41100000001,0.0007424999999999999,3.657410059349838e-06,2.4706861841366596e-06,3.6999999999970896,1
BTC/USDT,117569.76,5e-05,,binance,117566.69849999998,0.0007424999999999999,8.505588871206989e-08,2.5307406898339673e-06,3.709999999991851,1
BTC/USDT,117569.78,5e-05,,binance,117566.9835,0.0006604999999999998,1.701117557567393e-07,2.548826366902901e-06,3.0800000000017462,1
BTC/USDT,117569.79,5e-05,,binance,117567.2685,0.000658,8.505586695170046e-08,2.548826566086003e-06,2.2299999999959255,1
BTC/USDT,117569.8,5e-05,,binance,117567.5345,0.000658,8.50558598462737e-08,2.591331995281971e-06,2.2299999999959255,1
BTC/USDT,117569.81,5e-05,,binance,117567.7935,0.000658,8.505585251880236e-08,2.6286086471609094e-06,1.8099999999976717,1
BTC/USDT,117569.82,0.0002,,binance,117568.04649999998,0.0006655,8.505584541337561e-08,2.6607454869572623e-06,1.6200000000098953,1
BTC/USDT,117570.5,5e-05,,binance,117568.33299999998,0.0006595,5.783780510167695e-06,2.731936329618633e-06,1.6000000000058208,1
BTC/USDT,117571.52,5e-05,,binance,117568.6695,0.0005325,8.675608043329498e-06,3.008515485692126e-06,2.1999999999970896,1
BTC/USDT,117572.27,5e-05,,binance,117569.02349999998,0.0005325,6.379075543617779e-06,3.108612082686311e-06,2.9499999999970896,1
BTC/USDT,117572.28,5e-05,,binance,117569.335,0.0004784999999999999,8.50540657260185e-08,3.0002501994570337e-06,2.529999999998836,1
BTC/USDT,117572.29,5e-05,,binance,117569.64700000003,0.00045299999999999995,8.505405839854716e-08,2.996354752340266e-06,2.529999999998836,1
BTC/USDT,117572.33,0.0002,,binance,117569.9285,0.000453,3.402161615452959e-07,2.958709483396593e-06,2.5500000000029104,1
BTC/USDT,117572.34,0.00035,,binance,117570.16750000001,0.0002455,8.505402220527964e-08,2.7609277955444696e-06,2.5500000000029104,1
BTC/USDT,117572.33,0.0022,,binance,117570.40550000002,0.00031,-8.505402222301668e-08,2.767498322897757e-06,2.529999999998836,1
BTC/USDT,117572.34,0.00011,,binance,117570.62250000001,0.000313,8.505402220527964e-08,2.7718265559359665e-06,2.529999999998836,1
BTC/USDT,117572.34,6e-05,,binance,117570.82949999999,0.00031350000000000003,0.0,2.802428131749398e-06,2.5199999999895226,1
BTC/USDT,117572.34,0.00025,,binance,117571.00149999998,0.0003235,0.0,2.6453722684444694e-06,1.8399999999965075,1
BTC/USDT,117572.33,0.00441,,binance,117571.152,0.0004715,-8.505402222301668e-08,2.6181526075106545e-06,0.8099999999976717,1
BTC/USDT,117572.34,0.00015,,binance,117571.303,0.000424,8.505402220527964e-08,2.616032141171074e-06,0.069999999992433,1
BTC/USDT,117572.33,0.00033,,binance,117571.43199999999,0.000438,-8.505402222301668e-08,2.5708106151824662e-06,0.05000000000291038,1
BTC/USDT,117572.34,0.0041,,binance,117571.56100000002,0.0006405,8.505402220527964e-08,2.570810653859439e-06,0.05000000000291038,1
BTC/USDT,117572.34,0.06802,,binance,117571.68899999998,0.004038999999999999,0.0,2.5743184309004073e-06,0.00999999999476131,1
BTC/USDT,117572.35,0.00025,,binance,117571.817,0.004049,8.505401509985289e-08,2.574318468899386e-06,0.010000000009313226,1
